"","大盤","大盤變動率","大盤-7日簡單平均線","大盤-7日指數平均線","日新增案例","日新增案例-7日簡單平均線","日新增案例-7日指數平均線","累積案例"
"2021-05-13",15670.099609,-0.0147137490630005,16742.4027621429,16492.2086417907,25,11.8571428571429,14.9991786603958,1256
"2021-05-14",15827.089844,0.00996860594706028,16534.1298827143,16325.928942343,34,16,19.7493839952969,1290
"2021-05-15",15669.3564453333,-0.0100160326583296,16305.6755951429,16161.7858180906,185,41.7142857142857,61.0620379964726,1475
"2021-05-16",15511.6230466667,-0.0101173694165713,16057.0398994286,15999.2451252346,207,71.1428571428571,97.5465284973545,1682
"2021-05-17",15353.889648,-0.0102207776912948,15788.2227955714,15837.906255926,335,116.857142857143,156.909896373016,2017
"2021-05-18",16145.980469,0.0503022921252576,15725.7727398571,15914.9248091945,243,150,178.432422279762,2260
"2021-05-19",16132.660156,-0.000825333006483575,15758.6713168571,15969.3586458959,273,186,202.074316709821,2533
"2021-05-20",16042.360352,-0.00561305258918132,15811.851423,15987.6090724219,292,224.142857142857,224.555737532366,2825
"2021-05-21",16302.05957,0.0160587080914762,15879.704241,16066.2216968164,314,264.142857142857,246.916803149275,3139
"2021-05-22",16314.136393,0.000740541512911363,15971.8156620952,16128.2003708623,723,341,365.937602361956,3862
"2021-05-23",16326.213216,0.000739993516965853,16088.1856862857,16177.7035821467,460,377.142857142857,389.453201771467,4322
"2021-05-24",16338.290039,0.000739446331451177,16228.8143135714,16217.8501963601,595,414.285714285714,440.8399013286,4917
"2021-05-25",16595.669922,0.0156303780836513,16293.055664,16312.30512777,539,456.571428571429,465.37992599645,5456
"2021-05-26",16643.689453,0.00288931948804994,16366.0598492857,16395.1512090775,635,508.285714285714,507.784944497338,6091
"2021-05-27",16601.609375,-0.00253149178715795,16445.9525668571,16446.7657505581,670,562.285714285714,548.338708373003,6761
"2021-05-28",16870.859375,0.0160881953156622,16527.2096818571,16552.7891566686,554,596.571428571429,549.754031279752,7315
"2021-05-29",16936.716146,0.00389598208606401,16616.1496465714,16648.7709040015,491,563.428571428571,535.065523459814,7806
"2021-05-30",17002.572917,0.00388086229702544,16712.772461,16737.2214072511,354,548.285714285714,489.799142594861,8160
"2021-05-31",17068.429688,0.00386585941023831,16817.0781251429,16820.0234774383,351,513.428571428571,455.099356946146,8511
"2021-06-01",17162.380859,0.00548928905931589,16898.0368304286,16905.6128228287,331,483.714285714286,424.074517709609,8842
"2021-06-02",17165.039063,0.000154873509941922,16972.5153461429,16970.4693828716,547,471.142857142857,454.805888282207,9389
